Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
UNM,"Unumprovident Corp",26.88,-0.32,-1.18%,27.33,26.88,1957400,03/02/21
UNP,"Union Pacific Corp",209.3,0.12,+0.06%,210.64,207.33,2315400,03/02/21
UPS,"United Parcel Service",161.37,-0.1,-0.06%,163.17,159.89,2653700,03/02/21
URI,"United Rentals",293.42,-9.07,-3.00%,304.05,292.42,694800,03/02/21
USB,"U.S. Bancorp",50.65,-0.51,-1.00%,51.4,50.6,7360500,03/02/21
V,"Visa Inc",215.77,-0.86,-0.40%,217.93,214.82,6154900,03/02/21
VAR,"Varian Medical Systems",176.06,0.15,+0.09%,176.18,175.76,627600,03/02/21
VFC,"V.F. Corp",82.19,1.02,+1.26%,82.46,80.66,2088500,03/02/21
VIAC,"Viacomcbs Inc Cl B",68.72,1.59,+2.37%,69.37,66.79,14417200,03/02/21
VLO,"Valero Energy Corp",76.63,-1.17,-1.50%,78.76,76.58,3458200,03/02/21
VMC,"Vulcan Materials Company",168.94,-3.02,-1.76%,173,168.62,733400,03/02/21
VNO,"Vornado Realty Trust",43.67,-0.39,-0.89%,44.39,43.33,2304700,03/02/21
VNT,"Vontier Corp",31.6,-0.66,-2.05%,32.21,31.32,930700,03/02/21
VRSK,"Verisk Analytics Inc",166.38,-0.66,-0.40%,167.12,164.23,2617300,03/02/21
VRSN,"Verisign Inc",193.99,-1.81,-0.92%,196.36,192.26,584000,03/02/21
VRTX,"Vertex Pharmaceutic",212.06,1.68,+0.80%,214.13,211.45,2491300,03/02/21
VTR,"Ventas Inc",53.01,0.26,+0.49%,53.26,51.95,2369400,03/02/21
VTRS,"Viatris Inc",14.29,-0.43,-2.92%,14.7,14.14,16230200,03/02/21
VZ,"Verizon Communications Inc",54.98,-0.38,-0.69%,55.52,54.92,17177400,03/02/21
WAB,"Wabtec Corp",74.77,-0.1,-0.13%,75.9,74.47,1771900,03/02/21
WAT,"Waters Corp",274.03,-3.01,-1.09%,277.68,272.7,290500,03/02/21
WBA,"Walgreens Boots Alliance",47.44,-0.41,-0.86%,47.94,47.16,4142300,03/02/21
WDC,"Western Digital Cp",69.54,-2.67,-3.70%,72.7,69.48,4516500,03/02/21
WEC,"Wisconsin Energy Corp",83.03,0.24,+0.29%,83.34,81.7,1530300,03/02/21
WELL,"Welltower Inc",68.62,0.14,+0.20%,68.93,67.41,2594700,03/02/21
WFC,"Wells Fargo & Company",37.14,0.05,+0.13%,37.45,36.99,19683600,03/02/21
